"pid","gene","genes"
"O35149","Slc30a4","Slc30a4 Lm Znt4"
"O35160","Pitx3","Pitx3"
"O35161","Celsr1","Celsr1"
"O35166","Gosr2","Gosr2 Gs27"
"O35173","Kcns1","Kcns1"
"O35174","Kcns2","Kcns2"
"O35177","Nedd9","Nedd9 Casl"
"O35181","Nrg3","Nrg3"
"O35182","Smad6","Smad6 Madh6 Madh7 Msmad6"
"O35185","Bhlhe40","Bhlhe40 Bhlhb2 Clast5 Dec1 Stra13"
"O35188","Cx3cl1","Cx3cl1 Cx3c Fkn Scyd1"
"O35206","Col15a1","Col15a1"
"O35207","Cdk2ap1","Cdk2ap1 Cdkap1 Doc1"
"O35216","Cenpa","Cenpa"
"O35219","Kcnh2","Kcnh2 Erg Merg1"
"O35226","Psmd4","Psmd4 Mcb1"
"O35227","Adam7","Adam7"
"O35231","Kifc3","Kifc3"
"O35235","Tnfsf11","Tnfsf11 Opgl Rankl Trance"
"O35245","Pkd2","Pkd2 TRPP2"
"O35250","Exoc7","Exoc7 Exo70"
"O35253","Smad7","Smad7 Madh7 Madh8"
"O35261","E2f3","E2f3"
"O35280","Chek1","Chek1 Chk1"
"O35284","Batf","Batf"
"O35286","Dhx15","Dhx15 Ddx15 Deah9"
"O35291","Rnase2","Rnase2 Ear4"
"O35295","Purb","Purb"
"O35298","Aoah","Aoah"
"O35304","Slc18a3","Slc18a3 Vacht"
"O35305","Tnfrsf11a","Tnfrsf11a Rank"
"O35309","Nmi","Nmi"
"O35310","Hs3st1","Hs3st1 3ost 3ost1"
"O35316","Slc6a6","Slc6a6 Taut"
"O35317","Pbx3","Pbx3"
"O35324","Sh2d1b","Sh2d1b Eat2 Eat2a Sh2d1b1"
"O35326","Srsf5","Srsf5 Hrs Sfrs5"
"O35343","Kpna4","Kpna4 Qip1"
"O35345","Kpna6","Kpna6 Kpna5"
"O35350","Capn1","Capn1 Canp1 Capa1"
"O35368","Ifi203","Ifi203"
"O35375","Nrp2","Nrp2"
"O35379","Abcc1","Abcc1 Abcc1a Abcc1b Mdrap Mrp"
"O35381","Anp32a","Anp32a Anp32 Lanp"
"O35382","Exoc4","Exoc4 Sec8 Sec8l1"
"O35385","Ppef2","Ppef2"
"O35386","Phyh","Phyh Ln1 Lnap1 Pahx"
"O35387","Hax1","Hax1 Hs1bp1"
"O35393","Efnb3","Efnb3"
"O35400","Sult2b1","Sult2b1 Sult2b"
"O35405","Pld3","Pld3 Sam9"
"O35409","Folh1","Folh1 Mopsm Naalad1"
"O35417","Pdyn","Pdyn"
"O35423","Agxt","Agxt Agxt1"
"O35425","Bok","Bok Mtd"
"O35426","Xbp1","Xbp1 Treb5"
"O35427","Crcp","Crcp"
"O35435","Dhodh","Dhodh"
"O35437","Tcf21","Tcf21 Pod1"
"O35445","Rnf5","Rnf5 Ng2"
"O35449","Prrt1","Prrt1 Ng5"
"O35451","Atf6b","Atf6b Crebl1"
"O35453","Hpn","Hpn"
"O35454","Clcn6","Clcn6 Clc6"
"O35457","Ccrl2","Ccrl2 Ccr11 Lccr"
"O35464","Sema6a","Sema6a Semaq"
"O35465","Fkbp8","Fkbp8 Fkbp38 Sam11"
"O35468","Wnt9b","Wnt9b Wnt14b Wnt15"
"O35469","Hsd3b6","Hsd3b6"
"O35473","C1d","C1d Suncor"
"O35484","Azin1","Azin1 Oazi Oazin"
"O35488","Slc27a2","Slc27a2 Acsvl1 Facvl1 Fatp2 Vlacs Vlcs"
"O35491","Clk2","Clk2"
"O35492","Clk3","Clk3"
"O35493","Clk4","Clk4"
"O35495","Cdk14","Cdk14 Kiaa0834 Pftk1"
"O35516","Notch2","Notch2"
"O35526","Stx1a","Stx1a"
"O35544","Slc1a6","Slc1a6 Eaat4"
"O35551","Rabep1","Rabep1 Rab5ep Rabpt5 Rabpt5a"
"O35565","Fgf10","Fgf10"
"O35593","Psmd14","Psmd14 Pad1"
"O35594","Ift81","Ift81 Cdv-1 Cdv1"
"O35595","Ptch2","Ptch2"
"O35598","Adam10","Adam10 Kuz Madm"
"O35599","Opn1mw","Opn1mw Gcp"
"O35600","Abca4","Abca4 Abcr"
"O35601","Fyb1","Fyb1 Fyb"
"O35604","Npc1","Npc1"
"O35607","Bmpr2","Bmpr2"
"O35608","Angpt2","Angpt2 Agpt2"
"O35609","Scamp3","Scamp3"
"O35613","Daxx","Daxx"
"O35615","Zfpm1","Zfpm1 Fog Fog1"
"O35618","Mdm4","Mdm4 Mdmx"
"O35621","Pmm1","Pmm1"
"O35622","Fgf15","Fgf15"
"O35625","Axin1","Axin1 Axin Fu"
"O35626","Rasd1","Rasd1 Dexras1"
"O35627","Nr1i3","Nr1i3 Car"
"O35632","Hyal2","Hyal2"
"O35633","Slc32a1","Slc32a1 Vgat Viaat"
"O35638","Stag2","Stag2 Sa2 Sap2"
"O35639","Anxa3","Anxa3 Anx3"
"O35643","Ap1b1","Ap1b1 Adtb1"
"O35646","Capn6","Capn6 Capa6"
"O35648","Cetn3","Cetn3 Cen3"
"O35652","Lhx8","Lhx8 Lhx7"
"O35655","Ppef1","Ppef1 Dres10 Ppef"
"O35657","Neu1","Neu1 Neu"
"O35658","C1qbp","C1qbp Gc1qbp"
"O35659","Glp1r","Glp1r"
"O35664","Ifnar2","Ifnar2"
"O35668","Hap1","Hap1"
"O35671","Itgb1bp1","Itgb1bp1"
"O35674","Adam19","Adam19 Mltnb"
"O35678","Mgll","Mgll"
"O35681","Syt3","Syt3"
"O35685","Nudc","Nudc"
"O35690","Phox2b","Phox2b Pmx2b"
"O35696","St8sia2","St8sia2 Siat8b Stx"
"O35701","Matn3","Matn3"
"O35704","Sptlc1","Sptlc1 Lcb1"
"O35710","Noct","Noct Ccr4 Ccrn4l Noc"
"O35714","Tnfrsf18","Tnfrsf18 Gitr"
"O35716","Socs1","Socs1 Cish1 Ssi1"
"O35717","Socs2","Socs2 Cis2 Cish2"
"O35718","Socs3","Socs3 Cis3 Cish3"
"O35719","Rad51b","Rad51b Rad51l1 Rec2"
"O35728","Cyp4a14","Cyp4a14"
"O35730","Ring1","Ring1 Ring1A Rnf1"
"O35732","Cflar","Cflar Cash"
"O35738","Klf12","Klf12 Ap2rep"
"O35739","Klf9","Klf9 Bteb Bteb-1 Bteb1"
"O35740","Cited2","Cited2 Mrg1 Msg2"
"O35744","Chil3","Chil3 Chi3l3 Ym1"
"O35855","Bcat2","Bcat2 Bcatm Eca40"
"O35864","Cops5","Cops5 Csn5 Jab1 Kic2"
"O35874","Slc1a4","Slc1a4 Asct1 Satt"
"O35885","Ascl2","Ascl2 Mash2"
"O35892","Sp100","Sp100"
"O35902","Dsg3","Dsg3"
"O35903","Ccl25","Ccl25 Scya25 Teck"
"O35904","Pik3cd","Pik3cd"
"O35906","Spib","Spib"
"O35914","Bnc1","Bnc1 Bnc"
"O35926","Cdk5r2","Cdk5r2 Nck5ai"
"O35927","Ctnnd2","Ctnnd2 Catnd2 Nprap"
"O35929","Rem1","Rem1 Rem"
"O35930","Gp1ba","Gp1ba"
"O35936","Alox8","Alox8 Alox15b"
"O35942","Nek2","Nek2"
"O35943","Fxn","Fxn Frda"
"O35945","Aldh1a7","Aldh1a7 Aldh-pb"
"O35949","Elovl3","Elovl3 Cig30"
"O35954","Pitpnm1","Pitpnm1 Dres9 Mpt1 Nir2 Pitpnm"
"O35955","Psmb10","Psmb10 Lmp10 Mecl1"
"O35963","Rab33b","Rab33b"
"O35969","Gamt","Gamt"
"O35973","Per1","Per1 Per Rigui"
"O35975","Art2b","Art2b Rt6-2 Rt6.2"
"O35980","Nthl1","Nthl1 Nth1"
"O35984","Pbx2","Pbx2"
"O35988","Sdc4","Sdc4"
"O54689","Ccr6","Ccr6 Cmkbr6"
"O54692","Zw10","Zw10"
"O54693","Eda","Eda Ed1 Ta"
"O54707","Klrd1","Klrd1 Cd94"
"O54709","Klrk1","Klrk1 Nkg2d"
"O54714","Pias3","Pias3"
"O54724","Cavin1","Cavin1 Ptrf"
"O54732","Mmp15","Mmp15"
"O54743","Foxf2","Foxf2 Lun"
"O54749","Cyp2j5","Cyp2j5"
"O54750","Cyp2j6","Cyp2j6"
"O54751","Crx","Crx"
"O54754","Aox1","Aox1 Ao Ro"
"O54774","Ap3d1","Ap3d1 Ap3d"
"O54775","Ccn4","Ccn4 Elm1 Wisp1"
"O54781","Srpk2","Srpk2"
"O54784","Dapk3","Dapk3 Zipk"
"O54785","Limk2","Limk2"
"O54786","Dffa","Dffa Icad"
"O54788","Dffb","Dffb Cad"
"O54790","Mafg","Mafg"
"O54794","Aqp7","Aqp7"
"O54799","Nmbr","Nmbr"
"O54803","P2rx6","P2rx6 P2rxl1"
"O54804","Chka","Chka Chk"
"O54824","Il16","Il16"
"O54825","Bysl","Bysl"
"O54827","Atp10a","Atp10a Atpc5 Pfatp"
"O54828","Rgs9","Rgs9"
"O54829","Rgs7","Rgs7"
"O54833","Csnk2a2","Csnk2a2"
"O54834","Arhgap6","Arhgap6"
"O54839","Eomes","Eomes Tbr2"
"O54851","Gjd2","Gjd2 Gja9"
"O54863","Tssk2","Tssk2 Stk22b"
"O54864","Suv39h1","Suv39h1 Suv39h"
"O54865","Gucy1b1","Gucy1b1 Gucy1b3"
"O54879","Hmgb3","Hmgb3 Hmg2a Hmg4"
"O54885","Tyrobp","Tyrobp Dap12 Karap"
"O54890","Itgb3","Itgb3"
"O54901","Cd200","Cd200 Mox2"
"O54904","B3galt1","B3galt1"
"O54905","B3galt2","B3galt2"
"O54907","Tnfsf12","Tnfsf12"
"O54908","Dkk1","Dkk1"
"O54909","Rdh16","Rdh16 Crad Crad1 Rdh1 Rdh6"
"O54915","Nr1i2","Nr1i2 Pxr"
"O54916","Reps1","Reps1"
"O54917","E2f6","E2f6"
"O54918","Bcl2l11","Bcl2l11 Bim"
"O54926","Siva1","Siva1 Siva"
"O54928","Socs5","Socs5 Cish5"
"O54931","Pakap","Pakap Akap2 Palm2 Palm2akap2"
"O54940","Bnip2","Bnip2 Nip2l"
"O54941","Smarce1","Smarce1 Baf57"
"O54942","Cldn5","Cldn5 Bec1"
"O54943","Per2","Per2"
"O54946","Dnajb6","Dnajb6 Hsj2 Mrj"
"O54949","Nlk","Nlk"
"O54950","Prkag1","Prkag1 Prkaac"
"O54951","Sema6b","Sema6b Seman"
"O54957","Lat","Lat"
"O54962","Banf1","Banf1 Baf L2bp1"
"O54965","Rnf13","Rnf13 Rzf"
"O54967","Tnk2","Tnk2 Ack1"
"O54972","Cbfa2t3","Cbfa2t3 Cbfa2t3h Mtgr2"
"O54982","Kcnu1","Kcnu1 Kcnma3 Ksper Slo3"
"O54983","Crym","Crym"
"O54988","Slk","Slk Kiaa0204 Stk2"
"O54990","Prom1","Prom1 Prom Proml1"
"O54991","Cntnap1","Cntnap1 Nrxn4"
"O54992","Mapkapk5","Mapkapk5"
"O54998","Fkbp7","Fkbp7 Fkbp23"
"O55003","Bnip3","Bnip3 Nip3"
"O55013","Trappc3","Trappc3 Bet3"
"O55017","Cacna1b","Cacna1b Cach5 Cacnl1a5 Cchn1a"
"O55022","Pgrmc1","Pgrmc1 Pgrmc"
"O55023","Impa1","Impa1"
"O55026","Entpd2","Entpd2 Cd39l1"
"O55028","Bckdk","Bckdk"
"O55029","Copb2","Copb2"
"O55033","Nck2","Nck2 Grb4"
"O55038","Cxcl13","Cxcl13 Blc Scyb13"
"O55042","Snca","Snca Syn"
"O55047","Tlk2","Tlk2 Tlk"
"O55055","Trdmt1","Trdmt1 Dnmt2 Met2"
"O55060","Tpmt","Tpmt"
"O55070","Dnase1l3","Dnase1l3"
"O55071","Cyp2b19","Cyp2b19"
"O55074","Akap7","Akap7 Akap18"
"O55082","Ptpn20","Ptpn20 Typ"
"O55087","Mef2b","Mef2b"
"O55091","Impact","Impact"
"O55098","Stk10","Stk10 Lok"
"O55100","Syngr1","Syngr1"
"O55102","Bloc1s1","Bloc1s1 Gcn5l1"
"O55103","Prx","Prx"
"O55106","Strn","Strn"
"O55111","Dsg2","Dsg2"
"O55112","Aff2","Aff2 Fmr2 Ox19"
"O55123","Mmp10","Mmp10"
"O55127","Cyp26a1","Cyp26a1 Cyp26 P450ra"
"O55128","Sap18","Sap18"
"O55131","Septin7","Septin7 Cdc10 Sept7"
"O55134","Pcdh12","Pcdh12"
"O55135","Eif6","Eif6 Itgb4bp"
"O55137","Acot1","Acot1 Cte1"
"O55142","Rpl35a","Rpl35a"
"O55143","Atp2a2","Atp2a2"
"O55144","Tlx3","Tlx3 Hox11l2 Rnx Tlx1l2"
"O55176","Pja1","Pja1"
"O55183","Stc1","Stc1 Stc"
"O55186","Cd59a","Cd59a Cd59"
"O55187","Cbx4","Cbx4 Pc2"
"O55188","Dmp1","Dmp1 Dmp"
"O55192","Slc6a2","Slc6a2"
"O55201","Supt5h","Supt5h Supt5"
"O55203","Ldb2","Ldb2 Clim1"
"O55208","Figla","Figla"
"O55222","Ilk","Ilk ILK1 ILK2"
"O55225","Otog","Otog Otgn"
"O55229","Chkb","Chkb Chetk Chkl"
"O55230","Rad51d","Rad51d R51h3 Rad51l3"
"O55233","Cer1","Cer1 Cerl Cerr1"
"O55234","Psmb5","Psmb5"
"O55236","Rngtt","Rngtt Cap1a"
"O55237","Cd70","Cd70 Cd27l Cd27lg Tnfsf7"
"O55239","Nnmt","Nnmt"
"O55240","Rdh5","Rdh5 cRDH rdh Rdh4"
"O55241","Hcrt","Hcrt Ox Ppox"
"O55242","Sigmar1","Sigmar1 Oprs1"
"O70126","Aurkb","Aurkb Aik2 Aim1 Airk2 Ark2 Stk1 Stk12 Stk5"
"O70131","Ninj1","Ninj1"
"O70133","Dhx9","Dhx9 Ddx9"
"O70137","Alx3","Alx3"
"O70138","Mmp8","Mmp8"
"O70145","Ncf2","Ncf2 Noxa2 P67phox"
"O70146","Tesk1","Tesk1"
"O70152","Dpm1","Dpm1"
"O70157","Top3a","Top3a Top3"
"O70161","Pip5k1c","Pip5k1c Kiaa0589"
"O70165","Fcn1","Fcn1 Fcna"
"O70166","Stmn3","Stmn3 Sclip"
"O70167","Pik3c2g","Pik3c2g"
"O70172","Pip4k2a","Pip4k2a Pi5p4ka Pip5k2a"
"O70174","Chrna4","Chrna4 Acra4"
"O70176","Adcyap1","Adcyap1 Pacap"
"O70191","Atf5","Atf5 Atfx Nap1"
"O70194","Eif3d","Eif3d Eif3s7"
"O70200","Aif1","Aif1 Iba1"
"O70201","Birc5","Birc5 Api4 Iap4"
"O70209","Pdlim3","Pdlim3"
"O70220","Foxq1","Foxq1 Hfh1 Hfh1l"
"O70228","Atp9a","Atp9a"
"O70230","Znf143","Znf143 Staf Zfp143"
"O70237","Gfi1b","Gfi1b"
"O70250","Pgam2","Pgam2"
"O70252","Hmox2","Hmox2"
"O70255","Mpzl2","Mpzl2 Eva Eva1"
"O70258","Sgce","Sgce"
"O70263","Lnx1","Lnx1 Lnx"
"O70274","Ptp4a2","Ptp4a2 Prl2"
"O70281","Tpst1","Tpst1"
"O70283","Wnt2b","Wnt2b Wnt13"
"O70291","Grk4","Grk4 Gprk2l"
"O70293","Grk6","Grk6 Gprk6"
"O70299","Mab21l1","Mab21l1 Mab21"
"O70302","Cidea","Cidea"
"O70303","Cideb","Cideb"
"O70305","Atxn2","Atxn2 Atx2 Sca2"
"O70306","Tbx15","Tbx15 Tbx14 Tbx8"
"O70309","Itgb5","Itgb5"
"O70310","Nmt1","Nmt1"
"O70318","Epb41l2","Epb41l2 Epb4.1l2"
"O70324","Slc16a2","Slc16a2 Mct8 Xpct"
"O70325","Gpx4","Gpx4"
"O70326","Grem1","Grem1 Cktsf1b1 Drm"
"O70333","Cript","Cript"
"O70337","Bik","Bik Biklk Blk Nbk"
"O70342","Npy5r","Npy5r Npy5"
"O70343","Ppargc1a","Ppargc1a Pgc1 Pgc1a Ppargc1"
"O70348","Dxo","Dxo Dom3z Ng6"
"O70355","Btnl2","Btnl2 Gm315 Ng9"
"O70361","Per3","Per3"
"O70362","Gpld1","Gpld1"
"O70370","Ctss","Ctss Cats"
"O70372","Tert","Tert"
"O70373","Xirp1","Xirp1 Cmya1 Xin"
"O70374","Cbfa2t2","Cbfa2t2 Cbfa2t2h Mtgr1"
"O70394","Il27ra","Il27ra Tccr Wsx1"
"O70400","Pdlim1","Pdlim1 Clim1"
"O70404","Vamp8","Vamp8"
"O70405","Ulk1","Ulk1"
"O70421","Fzd1","Fzd1"
"O70423","Aoc3","Aoc3 Vap1"
"O70433","Fhl2","Fhl2"
"O70435","Psma3","Psma3"
"O70439","Stx7","Stx7 Syn7"
"O70443","Gnaz","Gnaz"
"O70445","Bard1","Bard1"
"O70451","Slc16a7","Slc16a7 Mct2"
"O70456","Sfn","Sfn Mkrn3"
"O70458","Osmr","Osmr Osmrb"
"O70460","Ccl19","Ccl19 Elc Scya19"
"O70468","Mybpc3","Mybpc3"
"O70469","Dok2","Dok2 Frip"
"O70475","Ugdh","Ugdh"
"O70477","Pknox1","Pknox1 Prep1"
"O70480","Vamp4","Vamp4"
"O70481","Ubr1","Ubr1"
"O70491","Stra6","Stra6"
"O70492","Snx3","Snx3"
"O70494","Sp3","Sp3"
"O70496","Clcn7","Clcn7 Clc7"
"O70497","Fcn2","Fcn2 Fcnb"
"O70503","Hsd17b12","Hsd17b12 Kik1"
"O70507","Hcn4","Hcn4 Bcng3"
"O70514","Fgfbp1","Fgfbp1"
"O70546","Kdm6a","Kdm6a Utx"
"O70548","Tcap","Tcap"
"O70551","Srpk1","Srpk1"
"O70552","Btg4","Btg4 Pc3b"
"O70566","Diaph2","Diaph2 Diap2"
"O70571","Pdk4","Pdk4"
"O70572","Smpd2","Smpd2"
"O70576","Stag3","Stag3"
"O70577","Slc22a2","Slc22a2 Oct2"
"O70578","Cacng1","Cacng1"
"O70579","Slc25a17","Slc25a17 Pmp34 Pmp35"
"O70582","Alox12b","Alox12b Aloxe2"
"O70583","Mid1","Mid1 Fxy Trim18"
"O70584","Nkx2-8","Nkx2-8 Nkx-2.9 Nkx2-9 Nkx2h"
"O70585","Dtnb","Dtnb"
"O70589","Cask","Cask Lin-2"
"O70622","Rtn2","Rtn2 Nspl1"
"O70624","Myoc","Myoc Tigr"
"O70628","Pde9a","Pde9a Pde8b"
"O88174","Cd46","Cd46 Mcp"
"O88188","Ly86","Ly86 Md1"
"O88196","Ttc3","Ttc3 Kiaa4119"
"O88199","Chst3","Chst3 C6st Gst0"
"O88207","Col5a1","Col5a1"
"O88271","Cfdp1","Cfdp1 Bcnt Cfdp Cp27"
"O88273","Grem2","Grem2 Cktsf1b2 Prdc"
"O88282","Bcl6b","Bcl6b Bazf"
"O88286","Wiz","Wiz"
"O88291","Znf326","Znf326 Zan75 Zfp326 Zird"
"O88307","Sorl1","Sorl1"
"O88310","Itln1","Itln1 Intl Itln Itln1a Itlna"
"O88312","Agr2","Agr2 Gob4"
"O88319","Ntsr1","Ntsr1 Ntsr"
"O88322","Nid2","Nid2"
"O88329","Myo1a","Myo1a Bbmi Myhl"
"O88335","Kcnj1","Kcnj1"
"O88342","Wdr1","Wdr1"
"O88343","Slc4a4","Slc4a4 Nbc1 Nbce1"
"O88351","Ikbkb","Ikbkb Ikkb"
"O88379","Baz1a","Baz1a Cbp146"
"O88384","Vti1b","Vti1b Vti1l1"
"O88393","Tgfbr3","Tgfbr3"
"O88398","Avil","Avil Advil"
"O88410","Cxcr3","Cxcr3 Cmkar3"
"O88413","Tulp3","Tulp3"
"O88427","Cacna1h","Cacna1h Kiaa1120"
"O88428","Papss2","Papss2 Atpsk2"
"O88430","Ccl22","Ccl22 Abcd1 Scya22"
"O88444","Adcy1","Adcy1"
"O88445","Aurkc","Aurkc Aie1 Aik3 Airk3 Ark3 Stk13"
"O88447","Klc1","Klc1 Kns2"
"O88448","Klc2","Klc2"
"O88452","Stc2","Stc2"
"O88454","Kcnk4","Kcnk4 Traak"
"O88455","Dhcr7","Dhcr7"
"O88456","Capns1","Capns1 Capn4"
"O88466","Znf106","Znf106 H3a Sh3bp3 Sirm Zfp106 Znf474"
"O88470","Foxl2","Foxl2 Pfrk"
"O88477","Igf2bp1","Igf2bp1 Vickz1"
"O88485","Dync1i1","Dync1i1 Dnci1 Dncic1"
"O88487","Dync1i2","Dync1i2 Dnci2 Dncic2"
"O88491","Nsd1","Nsd1"
"O88495","Gpr50","Gpr50"
"O88502","Pde8a","Pde8a Pde8"
"O88507","Cntfr","Cntfr"
"O88508","Dnmt3a","Dnmt3a"
"O88509","Dnmt3b","Dnmt3b"
"O88513","Gmnn","Gmnn"
"O88516","Dll3","Dll3"
"O88522","Ikbkg","Ikbkg Nemo"
"O88531","Ppt1","Ppt1 Cln1 Ppt"
"O88533","Ddc","Ddc"
"O88536","Fpr2","Fpr2 Fpr-rs2"
"O88537","Fpr-rs3","Fpr-rs3"
"O88543","Cops3","Cops3 Csn3"
"O88551","Cldn1","Cldn1"
"O88552","Cldn2","Cldn2"
"O88554","Parp2","Parp2 Adprt2 Adprtl2 Aspartl2"
"O88559","Men1","Men1"
"O88561","Slc27a3","Slc27a3 Acsvl3 Fatp3"
"O88566","Axin2","Axin2"
"O88569","Hnrnpa2b1","Hnrnpa2b1 Hnrpa2b1"
"O88572","Lrp6","Lrp6"
"O88574","Sap30","Sap30"
"O88575","Slc6a20b","Slc6a20b Slc6a20 Xt3 Xtrp3"
"O88576","Slc6a18","Slc6a18 B0at3 Xt2 Xtrp2"
"O88587","Comt","Comt Comt1"
"O88593","Pglyrp1","Pglyrp1 Pglyrp Pgrp Pgrps Tag7"
"O88597","Becn1","Becn1"
"O88602","Cacng2","Cacng2 Stg"
"O88609","Lmx1b","Lmx1b"
"O88621","Foxh1","Foxh1 Fast1 Fast2"
"O88622","Parg","Parg"
"O88623","Usp2","Usp2 Ubp41 MNCb-0190"
"O88627","Slc28a2","Slc28a2 Cnt2"
"O88630","Gosr1","Gosr1 Gs28"
"O88632","Sema3f","Sema3f"
"O88634","F2rl3","F2rl3 Par4"
"O88643","Pak1","Pak1 Paka"
"O88653","Lamtor3","Lamtor3 Map2k1ip1 Mapbp Mapksp1"
"O88662","Emp2","Emp2 Xmp"
"O88665","Brd7","Brd7 Bp75"
"O88667","Rrad","Rrad"
"O88668","Creg1","Creg1 Creg"
"O88673","Dgka","Dgka Dagk1"
"O88676","Mmp23","Mmp23 Cammp"
"O88689","Pcdha4","Pcdha4 Cnr1"
"O88693","Ugcg","Ugcg"
"O88696","Clpp","Clpp"
"O88697","Stk16","Stk16 Edpk Krct Mpsk1 Pkl12 Tsf1"
"O88700","Blm","Blm"
"O88703","Hcn2","Hcn2 Bcng2 Hac1"
"O88704","Hcn1","Hcn1 Bcng1 Hac2"
"O88705","Hcn3","Hcn3 Hac3"
"O88708","Orc4","Orc4 Orc4l"
"O88712","Ctbp1","Ctbp1"
"O88713","Klrg1","Klrg1 Mafa"
"O88721","Avpr2","Avpr2 V2r"
"O88728","Ifitm5","Ifitm5 Bril Fragilis4"
"O88735","Map7","Map7 Mtap7"
"O88736","Hsd17b7","Hsd17b7 17hsd7"
"O88737","Bsn","Bsn Kiaa0434"
"O88738","Birc6","Birc6 Kiaa1289"
"O88741","Gdap1","Gdap1"
"O88746","Tom1","Tom1"
"O88783","F5","F5"
"O88786","Il13ra2","Il13ra2"
"O88792","F11r","F11r Jam1 Jcam Jcam1"
"O88799","Zan","Zan"
"O88809","Dcx","Dcx Dcn"
"O88811","Stam2","Stam2 Hbp"
"O88816","Aanat","Aanat Snat"
"O88819","Fut9","Fut9"
"O88824","Jtb","Jtb Gm622"
"O88829","St3gal5","St3gal5 GM3S Siat9"
"O88833","Cyp4a10","Cyp4a10 Cyp4a-10"
"O88838","Spsb2","Spsb2 Grcc9 Ssb2"
"O88839","Adam15","Adam15 Mdc15"
"O88844","Idh1","Idh1"
"O88845","Akap10","Akap10"
"O88848","Arl6","Arl6 Bbs3"
"O88856","Tpst2","Tpst2 D5ucla3"
"O88874","Ccnk","Ccnk"
"O88875","Cd160","Cd160 By55"
"O88876","Dhrs3","Dhrs3 Rsdr1"
"O88878","Zfand5","Zfand5 Za20d2 Zfp216 Znf216"
"O88879","Apaf1","Apaf1"
"O88890","Sh2d1a","Sh2d1a Xlp"
"O88895","Hdac3","Hdac3"
"O88898","Tp63","Tp63 P63 P73l Tp73l Trp63"
"O88904","Hipk1","Hipk1 Kiaa0630 Myak Nbak2"
"O88907","Pias1","Pias1 Ddxbp1"
"O88908","Soat2","Soat2 Acact-2 Acat2"
"O88909","Slc22a8","Slc22a8 Oat3 Roct"
"O88910","Mpp3","Mpp3 Dlgh3"
"O88935","Syn1","Syn1 Syn-1"
"O88939","Zbtb7a","Zbtb7a Lrf Zbtb7"
"O88940","Msc","Msc Myor"
"O88942","Nfatc1","Nfatc1 Nfat2 Nfatc"
"O88947","F10","F10"
"O88951","Lin7b","Lin7b Mals2 Veli2"
"O88952","Lin7c","Lin7c Mals3 Veli3"
"O88958","Gnpda1","Gnpda1 Gnpi"
"O88962","Cyp8b1","Cyp8b1 Cyp12"
"O88967","Yme1l1","Yme1l1"
"O88974","Setdb1","Setdb1 Eset Kiaa0067"
"O88978","Dnaaf11","Dnaaf11 Lrrc6 Lrtp Mc2"
"O88983","Stx8","Stx8"
"O88987","Akap3","Akap3 Akap110"
"O88990","Actn3","Actn3"
"O88992","C1ql1","C1ql1 C1qrf Crf Ctrp14"
"O88998","Olfm1","Olfm1 Noe1 Noel Noel1"
"O89001","Cpd","Cpd"
"O89016","Abcd4","Abcd4 Pxmp1l"
"O89017","Lgmn","Lgmn Prsc1"
"O89019","Invs","Invs Inv Nphp2"
"O89020","Afm","Afm"
"O89023","Tpp1","Tpp1 Cln2"
"O89026","Robo1","Robo1 Dutt1"
"O89032","Sh3pxd2a","Sh3pxd2a Fish Sh3md1 Tks5"
"O89033","Cdc6","Cdc6"
"O89050","Mkln1","Mkln1"
"O89051","Itm2b","Itm2b"
"O89053","Coro1a","Coro1a Coro1"
"O89084","Pde4a","Pde4a"
"O89086","Rbm3","Rbm3"
"O89090","Sp1","Sp1"
"O89091","Klf10","Klf10 Gdnfif Tieg Tieg1"
"O89093","Ccl20","Ccl20 Larc Scya20"
"O89094","Casp14","Casp14"
"O89098","Cst7","Cst7"
"O89100","Grap2","Grap2 Gads Grb2l Grid Mona"
"O89101","Fgf18","Fgf18"
"O89103","Cd93","Cd93 Aa4 C1qr1 C1qrp Ly68"
"O89106","Fhit","Fhit"
"O89109","Kcnn4","Kcnn4"
"O89110","Casp8","Casp8"
"O89112","Lancl1","Lancl1 Gpr69a"
"O89116","Vti1a","Vti1a Vti1 Vti1l2"
"P00015","Cyct","Cyct"
"P00158","Mt-Cyb","Mt-Cyb Cob Cytb mt-Cytb Mtcyb"
"P00184","Cyp1a1","Cyp1a1 Cyp1a-1"
"P00186","Cyp1a2","Cyp1a2 Cyp1a-2"
"P00329","Adh1","Adh1 Adh-1"
"P00342","Ldhc","Ldhc Ldh-3 Ldh3"
"P00375","Dhfr","Dhfr"
"P00397","Mtco1","Mtco1 COI mt-Co1"
"P00493","Hprt1","Hprt1 Hprt"
"P00520","Abl1","Abl1 Abl"
"P00536","Mos","Mos"
"P00687","Amy1","Amy1 Amy-1-a Amy1a"
"P00688","Amy2a5","Amy2a5 Amy2 Amy2a"
"P00755","Klk1b1","Klk1b1 Klk-1 Klk1"
"P00756","Klk1b3","Klk1b3 Klk-3 Klk3 Ngfg"
"P00757","Klk1b4","Klk1b4 Klk-4 Klk4 Ngfa"
"P00796","Ren2","Ren2 Ren-2"
"P00860","Odc1","Odc1 Odc"
"P00920","Ca2","Ca2 Car2"
"P01027","C3","C3"
"P01029","C4b","C4b C4"
"P01101","Fos","Fos"
"P01108","Myc","Myc"
"P01132","Egf","Egf"
