"pid","gene","genes"
"Q9QZC2","Plxnc1","Plxnc1 Vespr"
"Q9QZD4","Ercc4","Ercc4 Xpf"
"Q9QZD8","Slc25a10","Slc25a10 Dic"
"Q9QZD9","Eif3i","Eif3i Eif3s2 Trip1"
"Q9QZE2","Clnk","Clnk Mist"
"Q9QZE5","Copg1","Copg1 Copg"
"Q9QZE7","Tsnax","Tsnax Trax"
"Q9QZF2","Gpc1","Gpc1"
"Q9QZH3","Ppie","Ppie Cyp33"
"Q9QZH6","Ecsit","Ecsit Sitpec"
"Q9QZI8","Serinc1","Serinc1 Aigp2 Tde1l Tde2 Tms2"
"Q9QZI9","Serinc3","Serinc3 Aigp1 Diff33 Tde1 Tms1"
"Q9QZJ6","Mfap5","Mfap5 Magp2"
"Q9QZK2","Bcar3","Bcar3 And34"
"Q9QZK7","Dok3","Dok3 Dokl"
"Q9QZL0","Ripk3","Ripk3 Rip3"
"Q9QZL6","Usp21","Usp21 Usp23"
"Q9QZL9","Dkkl1","Dkkl1 Sgy1"
"Q9QZM0","Ubqln2","Ubqln2 Plic2"
"Q9QZM2","Polg2","Polg2 Mtpolb"
"Q9QZM3","Clcf1","Clcf1 Bsf3 Nnt1"
"Q9QZM4","Tnfrsf10b","Tnfrsf10b Dr5 Killer"
"Q9QZN1","Fbxl17","Fbxl17 Fbl17 Fbx13 Fbxo13"
"Q9QZN4","Fbxo6","Fbxo6 Fbs2 Fbxo6b"
"Q9QZQ0","Npas3","Npas3 Mop6"
"Q9QZQ1","Afdn","Afdn Af6 Mllt4"
"Q9QZQ3","Uts2","Uts2 Ucn2"
"Q9QZQ8","Macroh2a1","Macroh2a1 H2afy"
"Q9QZR0","Rnf25","Rnf25"
"Q9QZR5","Hipk2","Hipk2 Nbak1 Stank"
"Q9QZR9","Col4a4","Col4a4"
"Q9QZS0","Col4a3","Col4a3"
"Q9QZS2","Rnf4","Rnf4"
"Q9QZS3","Numb","Numb"
"Q9QZS5","Sgk2","Sgk2"
"Q9QZS7","Nphs1","Nphs1 Nphn"
"Q9QZS8","Sh2d3c","Sh2d3c Chat Shep1"
"Q9QZT4","Pla2g2f","Pla2g2f"
"Q9QZU4","Plaat1","Plaat1 Hrasls Hrasrs"
"Q9QZU9","Ube2l6","Ube2l6 Ubce8"
"Q9QZW0","Atp11c","Atp11c"
"Q9QZW9","Mnx1","Mnx1 Hlxb9"
